Chlorine,Hardness,Hydrogen,Sulphur,Carbon,Oxygen,Nitrogen
11.098,10.455262,14.017,10.171,31.837,12.514,10.357
10.564,10.456513,13.468,10.141,31.858,13.423,10.468
11.05,10.454854,13.902999999999999,10.18,31.867,12.436,10.444
11.056000000000001,10.455304,13.768,10.171,31.945,12.562,10.429
11.107,10.455297999999999,13.963000000000001,10.171,31.782999999999998,12.466000000000001,10.387
11.131,10.456669,13.963000000000001,10.039,31.596999999999998,13.006,10.237
10.0,10.455157,14.902000000000001,10.0,31.906,12.583,10.6
11.08,10.455283,14.167,10.144,31.819,12.349,10.408
11.125,10.455898,14.431000000000001,10.009,31.605999999999998,12.7,10.087
10.852,10.455511,13.942,10.165,31.854999999999997,12.721,10.384
11.047,10.455352,13.924,10.18,31.858,12.547,10.384
11.056000000000001,10.454929,13.648,10.171,31.867,12.559,10.405
10.816,10.45519,13.705,10.21,31.861,12.769,10.489
10.0,10.454974,14.953,10.0,31.933,12.484,10.597
11.008,10.455388,14.05,10.171,31.581999999999997,12.67,10.489
11.062,10.455802,14.137,10.048,31.795,12.739,10.225
10.549,10.457095,15.241,10.093,31.129,12.583,10.393
11.05,10.45516,14.014,10.15,31.854999999999997,12.529,10.345
11.098,10.455616,13.879,10.174,31.753,12.600999999999999,10.468
11.086,10.455715,14.08,10.042,31.791999999999998,12.628,10.333
10.999,10.455778,13.959999999999999,10.18,31.708,12.775,10.384
10.483,10.456174,13.927,10.228,31.654,13.062999999999999,10.651
10.87,10.45723,14.149000000000001,10.024,31.345000000000002,13.237,10.350999999999999
10.945,10.458175,14.14,10.024,31.170999999999996,13.492,10.198
11.041,10.453645,13.897,10.186,31.894000000000002,12.597999999999999,10.336
10.0,10.456129,14.014,10.099,31.675,13.75,10.42
11.095,10.456456,13.915,10.057,31.666,13.006,10.261
11.062,10.45507,13.998999999999999,10.204,31.762,12.433,10.483
11.074,10.45477,13.905999999999999,10.207,31.936,12.388,10.453
11.116,10.45696,14.116,10.027,31.525,13.066,10.153
11.128,10.455532,13.975,10.174,31.720000000000002,12.526,10.396
11.092,10.455019,13.99,10.195,31.759,12.495999999999999,10.459
10.0,10.455907,13.792,10.114,32.125,13.459,10.495
10.0,10.455454,14.116,10.0,32.335,13.297,10.168
10.0,10.454827,14.661999999999999,10.015,31.915,12.649000000000001,10.753
10.234,10.455664,14.497,10.0,31.75,12.985,10.522
11.068,10.454788,13.905999999999999,10.216,31.933,12.370000000000001,10.462
11.095,10.455337,14.091999999999999,10.018,31.9,12.679,10.195
11.074,10.454875,14.008,10.135,31.816,12.463000000000001,10.447
11.158,10.456516,14.053,10.069,31.537000000000003,12.895,10.264
11.068,10.455244,13.858,10.162,31.962999999999997,12.565,10.381
10.0,10.454851,14.686,10.0,31.99,12.613,10.681
10.099,10.456357,13.891,10.039,32.016999999999996,13.465,10.453
10.0,10.456666,14.329,10.03,31.801,13.48,10.3
11.083,10.454935,14.032,10.198,31.717,12.408999999999999,10.462
10.0,10.454998,13.858,10.291,32.164,13.051,10.549
10.804,10.454542,14.863,10.504,30.967,11.761,11.05
10.0,10.456195,14.8,10.0,32.025999999999996,12.532,10.606
